Region,School LEA number,School Name,Type,Type (Welsh),School Number,Phone Number,Address,Students,Wikipedia URL,Estyn (Schools Inspectorate) URL,School Website
Isle of Anglesey,660,Ysgol Gynradd Amlwch,"Nursery, Infants & Juniors",Welsh medium,6602130,01407 830414,Amlwch+Ynys Môn+++LL68 9DU,271.0,No Wikipedia page,https://www.estyn.gov.wales/provider/6602130,https://get-information-schools.service.gov.uk/Establishments/Establishment/Details/400041
Isle of Anglesey,660,Ysgol Gynradd Beaumaris,"Nursery, Infants & Juniors",Welsh medium,6602131,01248 810451,Maeshyfryd+Beaumaris+Ynys Môn++LL58 8HL,43.0,No Wikipedia page,https://www.estyn.gov.wales/provider/6602131,https://ysgolbeaumaris.wordpress.com/category/school-news/
Isle of Anglesey,660,Ysgol Gynradd Bodedern,"Nursery, Infants & Juniors",Welsh medium,6602132,01407 740201,Bodedern+Caergybi+Ynys Môn++LL65 3TZ,106.0,https://en.wikipedia.org/wiki/Ysgol_Uwchradd_Bodedern,https://www.estyn.gov.wales/provider/6602132,https://get-information-schools.service.gov.uk/Establishments/Establishment/Details/400043
Isle of Anglesey,660,Ysgol Gymuned Bodffordd,"Nursery, Infants & Juniors",Welsh medium,6602133,01248 723384,Bodffordd+Llangefni+Ynys Môn++LL77 7LZ,85.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gymuned Bryngwran,"Nursery, Infants & Juniors",Welsh medium,6602135,01407 720400,Bryngwran+Caergybi+Ynys Môn++LL65 3PP,47.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gynradd Brynsiencyn,"Nursery, Infants & Juniors",Welsh medium,6602136,01248 430457,Brynsiencyn+Llanfairpwll+Ynys Môn++LL61 6HZ,44.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Cemaes,"Nursery, Infants & Juniors",Welsh medium,6602138,01407 710225,Cemaes+Ynys Môn+++LL67 0LB,75.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Esceifiog,Infants & Juniors,Welsh medium,6602140,01248 421669,Y Gaerwen+Ynys Môn+++LL60 6DD,144.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gynradd Garreglefn,"Nursery, Infants & Juniors",Welsh medium,6602141,01407 710508,Garreglefn+Amlwch+Ynys Môn++LL68 0PH,12.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gymuned Y Ffridd,"Nursery, Infants & Juniors",Welsh medium,6602142,01407 720477,Gwalchmai+Caergybi+Ynys Môn++LL65 4SG,85.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gymuned Moelfre,"Nursery, Infants & Juniors",Welsh medium,6602145,01248 410546,Moelfre+Ynys Môn+++LL72 8NA,59.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gynradd Llanbedrgoch,"Nursery, Infants & Juniors",Welsh medium,6602146,01248 450291,Llanbedrgoch+Ynys Môn+++LL76 8SX,20.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gynradd Llanfairpwll,Infants & Juniors,Welsh medium,6602152,01248 714478,Llanfairpwll+Ynys Môn+++LL61 5TX,346.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gymuned Llanfechell,"Nursery, Infants & Juniors",Welsh medium,6602153,01407 710512,Llanfechell+Amlwch+Ynys Môn++LL68 0SA,86.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Y Graig,"Nursery, Infants & Juniors",Welsh medium,6602154,01248 723092,Ffordd Colleg+Lon Talwrn+Llangefni+Ynys Môn+LL77 7LP,362.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gynradd Llangoed,"Nursery, Infants & Juniors",Welsh medium,6602155,01248 490680,Llangoed+Beaumaris+Ynys Môn++LL58 8LU,85.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Henblas,Infants & Juniors,Welsh medium,6602156,01248 723944,Llangristiolus+Bodorgan+Ynys Môn++LL62 5DR,105.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gymuned Llannerch-Y-Medd,"Nursery, Infants & Juniors",Welsh medium,6602157,01248 470466,Llanerchymedd+Ynys Môn+++LL71 8DP,129.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Pencarnisiog,"Nursery, Infants & Juniors",Welsh medium,6602160,01407 810622,Pencarnisiog+Ty Croes+Ynys Môn++LL63 5RY,69.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gymuned Pentraeth,"Nursery, Infants & Juniors",Welsh medium,6602161,01248 450315,Pentraeth+Ynys Môn+++LL75 8UP,94.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Penysarn,"Nursery, Infants & Juniors",Welsh medium,6602162,01407 830678,Penysarn+Ynys Môn+++LL69 9AZ,73.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Santes Gwenfaen,"Nursery, Infants & Juniors",Welsh medium,6602163,01407 860264,Rhoscolyn+Caergybi+Ynys Môn++LL65 2DX,105.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gynradd Rhosneigr,"Nursery, Infants & Juniors",Welsh medium,6602164,01407 810571,Rhosneigr+Ynys Môn+++LL64 5XA,85.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gynradd Rhosybol,Infants & Juniors,Welsh medium,6602165,01407 830484,Rhosybol+Amlwch+Ynys Môn++LL68 9PP,85.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gynradd Talwrn,Infants & Juniors,Welsh medium,6602166,01248 723363,Talwrn+Llangefni+Ynys Môn++LL77 7TG,30.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gymuned y Fali,"Nursery, Infants & Juniors",Welsh medium,6602168,01407 740518,Y Fali+Ynys Môn+++LL65 3EU,104.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Llanfawr,"Nursery, Infants & Juniors",Welsh medium,6602169,01407 762552,Caergybi+Ynys Môn+++LL65 2DS,279.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Goronwy Owen,Infants & Juniors,Welsh medium,6602170,01248 852667,Benllech+Ynys Môn+++LL74 8SG,148.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gynradd Y Tywyn,"Nursery, Infants & Juniors",Welsh medium,6602173,01407 740781,Caergeiliog+Ynys Môn+++LL65 3LW,121.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gynradd Llandegfan,Infants & Juniors,Welsh medium,6602174,01248 713431,Llandegfan+Porthaethwy+Ynys Môn++LL59 5UW,163.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gynradd Y Borth,Infants & Juniors,Welsh medium,6602175,01248 713000,Porthaethwy+Ynys Môn+++LL59 5DS,225.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gynradd Kingsland,"Nursery, Infants & Juniors",Welsh medium,6602176,01407 763295,Caergybi+Ynys Môn+++LL65 2TH,185.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gymraeg Morswyn,"Nursery, Infants & Juniors",Welsh medium,6602177,01407 762233,Caergybi+Ynys Môn+++LL65 2PU,185.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gynradd Corn Hir,Infants & Juniors,Welsh medium,6602226,01248 722558,Llangefni+Ynys Môn+++LL77 7JB,245.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Rhyd y Llan,"Nursery, Infants & Juniors",Welsh medium,6602227,01407 887922,Llanfaethlu+Caergybi+Ynys Môn++LL65 4PQ,133.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gynradd Parc Y Bont,"Nursery, Infants & Juniors",Welsh medium,6602228,01248 422350,Llanddaniel Fab+++Ynys Môn+LL60 6ES,105.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Cybi,"Nursery, Infants & Juniors",Welsh medium,6603036,01407 883150,Ffordd Garreglwyd+++CAERGYBI+LL65 1NS,453.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Santes Dwynwen,"Nursery, Infants & Juniors",Welsh medium,6603037,01248 663894,Niwbwrch+++Ynys Môn+LL61 6TE,110.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Santes Fair,"Nursery, Infants & Juniors",English medium,6603304,01407 763176,Longford Road+Holyhead+Anglesey++LL65 1TR,123.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Syr Thomas Jones,Secondary (ages 11-19),Bilingual (Type B),6604025,01407 830287,Pentrefelin+Amlwch+Ynys Mon++LL68 9TH,542.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Uwchradd Caergybi,Secondary (ages 11-19),English with significant Welsh,6604026,01407 762219,Caergybi+Ynys Môn+++LL65 1NP,873.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Gyfun Llangefni,Secondary (ages 11-19),Bilingual (Type B),6604027,01248 723441,Llangefni+Ynys Môn+++LL77 7NG,717.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol David Hughes,Secondary (ages 11-19),Bilingual (Type B),6604028,01248 712287,Ffordd Pentraeth+Porthaethwy+Ynys Môn++LL59 5SS,1118.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Uwchradd Bodedern,Secondary (ages 11-19),Bilingual (Type B),6604029,01407 741000,Bro Alaw+Bodedern+Caergybi+Ynys Môn+LL65 3TL,774.0,TODO,TODO,TODO
Isle of Anglesey,660,Ysgol Caergeiliog,"Nursery, Infants & Juniors",Dual Stream,6605200,01407 740619,Caergeiliog+Caergybi+Ynys Môn++LL65 3NP,349.0,TODO,TODO,TODO
