SchoolName,URL
Abbey Primary School,http://abbey-primary.j2bloggy.com/
Aberbargoed Primary School,https://www.aberbargoedprimary.wales/
Abercanaid Community,https://sites.google.com/abercanaid.merthyr.sch.uk/abercanaidcommunityschool/
Abercarn Primary School,https://abercarnprimary.com/
Abercerdin Primary School,https://www.abercerdinprimaryschool.co.uk/
Abercynon Primary,https://www.abercynonprimary.org/
Aberdare Community School,https://www.aberdareschool.com/
Aberdare Park Primary,https://sites.google.com/hwbcymru.net/aberdareparkprimaryschool/
Aberdare Town C In W Primary,https://aberdare-town-ciw-primary-school.j2bloggy.com/
Abergwili Voluntary Controlled Primary School,http://www.abergwili.amdro.org.uk/
Abermorddu Cp School,https://www.abermordduprimaryschool.co.uk/
Abermorddu Cp School,https://www.cefnllys.powys.sch.uk/
Abermorddu Cp School,https://www.dolau.powys.sch.uk/
Abermule Primary School,https://www.abermuleschool.co.uk/
Abernant County Primary,http://www.abernant.amdro.org.uk/
Abernant County Primary,https://www.abernantprimaryschool.co.uk/
Abersychan Comprehensive,https://www.abersychan.org.uk/
Abertillery Learning Community,https://www.abertillery3-16.co.uk/
Acton Primary,https://www.actonpark-pri.wrexham.sch.uk/
Adamsdown Primary,https://www.adamsdownprimarycardiff.co.uk/
Afon Taf High School,https://www.afontaf.merthyr.sch.uk/
Afon Y Felin Primary School,http://www.afonyfelinprimary.co.uk
Afon Y Felin Primary School,https://ysgol-frenni.j2bloggy.com/blog/welcome-just2easy/
Alaw Primary School,https://www.alawprimaryschool.co.uk/
Alaw Primary School,https://www.trealawprimary.cymru/
Albany Primary School,https://www.albanyprm.co.uk/
Albert Primary School,https://www.albertprimary.co.uk/
Alderman Davies CIW Primary School,https://alderman-davies-ciw-primary-school.j2bloggy.com/
Alexandra C P School,https://www.alexandraprimary.co.uk/
All Saints C/W Primary,https://www.gresfordallsaints.co.uk/
All Saints Cw Primary School,https://www.allsaintspsbarry.com/
All Saints R.C. Primary School,https://www.allsaintsrcprimary.co.uk/
Allensbank Primary School,http://www.allensbankprm.cardiff.sch.uk/
Alltwen Primary School,https://alltwen-primary-school.j2bloggy.com/
Alun School,http://www.alunschool.co.uk/
Alway Primary School,https://www.alwayprimaryschool.co.uk/
Archbishop McGrath Catholic High School,https://holy-name-catholic-primary-school.j2bloggy.com/
Archbishop Rowan Williams VA,https://www.arwprimaryschool.co.uk/
Archdeacon Griffiths C.I.W. Primary School,http://www.llyswenva.powys.sch.uk/
Archdeacon John Lewis C In W,https://www.stjohnscollegecardiff.com/
Arddleen C.P. School,https://www.arddleen.powys.sch.uk/
Argoed High School,https://www.argoedhs.co.uk/
Awel Y Mor Primary School,https://awel-y-mor-primary-school.j2bloggy.com/
Baden Powell Primary School,https://www.badenpowell-cardiff.co.uk/
Baglan Primary School,https://baglan-primary-school.j2bloggy.com/
Bancyfelin C.P. School,http://www.bancyfelin.amdro.org.uk/
Barker's Lane Cp,http://www.barkerslaneprimary.co.uk
Barry Island Primary School,https://www.barryislandprimary.com/
