School,URL
Eirias High School,https://cy.wikipedia.org/wiki/Ysgol_Uwchradd_Eirias
Ysgol Aberconwy,https://cy.wikipedia.org/wiki/Ysgol_Aberconwy
Ysgol Ardudwy,https://cy.wikipedia.org/wiki/Ysgol_Ardudwy
Ysgol Betws Y Coed,https://cy.wikipedia.org/wiki/Ysgol_Betws_Y_Coed
Ysgol Bod Alaw,https://cy.wikipedia.org/wiki/Ysgol_Bod_Alaw
Ysgol Bodafon,https://cy.wikipedia.org/wiki/Ysgol_Bodafon
Ysgol Bro Aled Llansannan,https://cy.wikipedia.org/wiki/Ysgol_Bro_Aled
Ysgol Bro Famau,https://cy.wikipedia.org/wiki/Ysgol_Bro_Famau
Ysgol Bro Gwydir,https://cy.wikipedia.org/wiki/Ysgol_Bro_Gwydir
Ysgol Bro Idris,https://cy.wikipedia.org/wiki/Ysgol_Bro_Idris
Ysgol Bryn Elian,https://cy.wikipedia.org/wiki/Ysgol_Bryn_Elian
Ysgol Craig Y Don,https://cy.wikipedia.org/wiki/Ysgol_Craig_Y_Don
Ysgol Cynfran,https://cy.wikipedia.org/wiki/Ysgol_Cynfran
Ysgol David Hughes,https://cy.wikipedia.org/wiki/Ysgol_David_Hughes
Ysgol Deganwy,https://cy.wikipedia.org/wiki/Ysgol_Deganwy
Ysgol Dolwyddelan,https://cy.wikipedia.org/wiki/Ysgol_Dolwyddelan
Ysgol Dyffryn Conwy,https://cy.wikipedia.org/wiki/Ysgol_Dyffryn_Conwy
Ysgol Emrys Ap Iwan,https://cy.wikipedia.org/wiki/Ysgol_Emrys_Ap_Iwan
Ysgol Friars,https://cy.wikipedia.org/wiki/Ysgol_Friars
Ysgol Glan Conwy,https://cy.wikipedia.org/wiki/Ysgol_Glan_Conwy
Ysgol Glan Morfa,https://cy.wikipedia.org/wiki/Ysgol_Glan_Morfa
Ysgol Glan Y Mor,https://cy.wikipedia.org/wiki/Ysgol_Glan_Y_Mor
Ysgol Glanwydden,https://cy.wikipedia.org/wiki/Ysgol_Glanwydden
Ysgol Godre'r Berwyn,https://cy.wikipedia.org/wiki/Ysgol_Godre%27r_Berwyn
Ysgol Gyfun Llangefni,https://cy.wikipedia.org/wiki/Ysgol_Gyfun_Llangefni
Ysgol Gymraeg Henllan,https://cy.wikipedia.org/wiki/Ysgol_Gymraeg_Henllan
Ysgol Gymraeg Morswyn,https://cy.wikipedia.org/wiki/Ysgol_Gymraeg_Morswyn
Ysgol Gymraeg Y Garnedd,https://cy.wikipedia.org/wiki/Ysgol_Gymraeg_Y_Garnedd
Ysgol Gymraeg Y Gwernant,https://cy.wikipedia.org/wiki/Ysgol_Gymraeg_Y_Gwernant
Ysgol Gynradd Llanfairpwll,https://cy.wikipedia.org/wiki/Ysgol_Gynradd_Llanfairpwll
Ysgol Hafod Lon,https://cy.wikipedia.org/wiki/Ysgol_Hafod_Lon
Ysgol Hiraddug,https://cy.wikipedia.org/wiki/Ysgol_Hiraddug
Ysgol John Bright,https://cy.wikipedia.org/wiki/Ysgol_John_Bright
Ysgol Llandrillo yn Rhos,https://cy.wikipedia.org/wiki/Ysgol_Llandrillo_yn_Rhos
Ysgol Pendalar,https://cy.wikipedia.org/wiki/Ysgol_Pendalar
Ysgol Pentrefoelas,https://cy.wikipedia.org/wiki/Ysgol_Pentrefoelas
Ysgol Swn Y Don,https://cy.wikipedia.org/wiki/Ysgol_Swn_Y_Don
Ysgol Syr Hugh Owen,https://cy.wikipedia.org/wiki/Ysgol_Syr_Hugh_Owen
Ysgol T. Gwynn Jones,https://cy.wikipedia.org/wiki/Ysgol_T._Gwynn_Jones
Ysgol Tryfan,https://cy.wikipedia.org/wiki/Ysgol_Tryfan
Ysgol Tudno,https://cy.wikipedia.org/wiki/Ysgol_Tudno
Ysgol Twm o'r Nant,https://cy.wikipedia.org/wiki/Ysgol_Twm_o%27r_Nant
Ysgol Uwchradd Bodedern,https://cy.wikipedia.org/wiki/Ysgol_Uwchradd_Bodedern
Ysgol Uwchradd Caergybi,https://cy.wikipedia.org/wiki/Ysgol_Uwchradd_Caergybi
Ysgol Uwchradd Tywyn,https://cy.wikipedia.org/wiki/Ysgol_Uwchradd_Tywyn
Ysgol Y Creuddyn,https://cy.wikipedia.org/wiki/Ysgol_Y_Creuddyn
Ysgol Y Faenol,https://cy.wikipedia.org/wiki/Ysgol_Y_Faenol
Ysgol Y Felinheli,https://cy.wikipedia.org/wiki/Ysgol_Y_Felinheli
Ysgol Y Foryd,https://cy.wikipedia.org/wiki/Ysgol_Y_Foryd
Ysgol Y Gogarth,https://cy.wikipedia.org/wiki/Ysgol_Y_Gogarth
